open,1,2,3,4,5,6,7,8,9,Cut,Shape,Polish,Symmetry,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,EX,EX,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,,Fancy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,,,,,,,,,,,,,,,,,,,,,,,
OHT,-2,-2,-1.5,-2,-2,-1.5,-2,-2,-1.5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OHC,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OHG,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OHP,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OT1,-4,-4,-3,-4,-4,-3,-4,-4,-3,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OC1,-3,-3,-2,-3,-3,-2,-3,-3,-2,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OG1,-2,-2,-1,-2,-2,-1,-2,-2,-1,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OP1,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OT2,-6,-6,-5,-6,-6,-5,-6,-6,-5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OC2,-5,-5,-4,-5,-5,-4,-5,-5,-4,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OG2,-4,-4,-3,-4,-4,-3,-4,-4,-3,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OT3,-9,-9,-8,-9,-9,-8,-9,-9,-8,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OC3,-8,-8,-7,-8,-8,-7,-8,-8,-7,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OG3,-7,-7,-6,-7,-7,-6,-7,-7,-6,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
OP3,-6,-6,-5,-6,-6,-5,-6,-6,-5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
INT,-2,-2,-1.5,-1.5,-1.5,-1,-1,-1,-0.5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
INC,-1,-1,-1,-1,-1,-0.5,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
ING,-1,-1,-1,-1,-1,-0.5,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
INP,-1,-1,-1,-1,-1,-0.5,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
NC1,-1.5,-1.5,-1,-1,-1,0,-0.5,-0.5,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
NC2,-2,-2,-1.5,-1.5,-1.5,-0.5,-1,-1,-0.5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
NC3,-4,-4,-3.5,-3.5,-3.5,-3,-3,-3,-2.5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
NP2,-1,-1,-1,-1,-1,-0.5,-0.5,-0.5,-0.5,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
NP3,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
EFT,-1,-1,-0.5,-0.5,-0.5,0,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
EFC,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
EFG,0,0,0,0,0,0,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
EFP,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
CTT,-4,-4,-3,-4,-4,-3,-3,-3,-2,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
CTC,-2,-2,-1,-2,-2,-1,-1,-1,-1,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
CTG,-3,-3,-2,-3,-3,-2,-2,-2,-1,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
CTP,-2,-2,-1,-2,-2,-1,-1,-1,-1,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
CHT,-1,-1,-1,-1,-1,-0.5,-1,-1,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
CHC,-1,-1,-1,-1,-1,0,-0.5,-0.5,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
CHG,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,
CHP,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,0,0,,Fancy,VG,VG,,,,,,,,,,,,,,,,,,,,,

